datetime,prefecture,ret_offices,ret_employees,ret_sales
1988-01-01,広島県,50624 ,274382 ,12336282000000 
1991-01-01,広島県,51235 ,289533 ,16768280000000 
1994-01-01,広島県,47614 ,301092 ,14850577000000 
1997-01-01,広島県,44015 ,282192 ,14432120000000 
1999-01-01,広島県,45102 ,310002 ,14240285000000 
2002-01-01,広島県,40708 ,289445 ,12567940000000 
2004-01-01,広島県,39264 ,278214 ,11992582000000 
2007-01-01,広島県,35839 ,262675 ,11868449000000 
2012-01-01,広島県,34350 ,260532 ,10510505000000 
2014-01-01,広島県,34332 ,268663 ,10456235000000 
1988-01-01,山口県,30357 ,143384 ,4247011000000 
1991-01-01,山口県,30110 ,141340 ,4878498000000 
1994-01-01,山口県,27156 ,139250 ,4206686000000 
1997-01-01,山口県,25022 ,134964 ,4192086000000 
1999-01-01,山口県,25682 ,146830 ,4302054000000 
2002-01-01,山口県,23260 ,136229 ,3595032000000 
2004-01-01,山口県,22160 ,131380 ,3557428000000 
2007-01-01,山口県,20010 ,124572 ,3548663000000 
2012-01-01,山口県,17805 ,115290 ,2677099000000 
2014-01-01,山口県,17501 ,115189 ,2781387000000 
1988-01-01,徳島県,17231 ,69804 ,1713162000000 
1991-01-01,徳島県,17286 ,71275 ,1997125000000 
1994-01-01,徳島県,16074 ,71730 ,2020498000000 
1997-01-01,徳島県,15299 ,71013 ,2091086000000 
1999-01-01,徳島県,15131 ,75764 ,2115728000000 
2002-01-01,徳島県,13466 ,72347 ,1821844000000 
2004-01-01,徳島県,12512 ,67465 ,1762088000000 
2007-01-01,徳島県,10982 ,62825 ,1661534000000 
2012-01-01,徳島県,10187 ,58902 ,1319368000000 
2014-01-01,徳島県,9985 ,60999 ,1343338000000 
1988-01-01,香川県,20130 ,100196 ,4210279000000 
1991-01-01,香川県,20610 ,103995 ,5358645000000 
1994-01-01,香川県,19236 ,105247 ,5025893000000 
1997-01-01,香川県,17940 ,101280 ,5225175000000 
1999-01-01,香川県,17829 ,110863 ,5216528000000 
2002-01-01,香川県,16259 ,102199 ,4282163000000 
2004-01-01,香川県,15369 ,99081 ,3889681000000 
2007-01-01,香川県,13983 ,93172 ,3980519000000 
2012-01-01,香川県,13074 ,89336 ,3191483000000 
2014-01-01,香川県,13074 ,93335 ,3044683000000 
1988-01-01,愛媛県,28601 ,125486 ,3706871000000 
1991-01-01,愛媛県,29341 ,133512 ,4700671000000 
