datetime,prefecture,idt_offices,idt_employees,idt_salaries,idt_costs,idt_sales
2007-01-01,島根県,1547,45444,162004000000,754955000000,1201501000000
2007-01-01,岡山県,4155,158271,710816000000,5344177000000,8253857000000
2007-01-01,広島県,6105,222498,1033500000000,6725719000000,10158571000000
2007-01-01,山口県,2275,100435,468208000000,4682758000000,6916399000000
2007-01-01,徳島県,1629,51517,214000000000,904185000000,1715751000000
2007-01-01,香川県,2415,70779,272240000000,1784306000000,2731773000000
2007-01-01,愛媛県,2750,83726,336549000000,3061691000000,4340584000000
2007-01-01,高知県,1214,27139,90159000000,363763000000,595499000000
2007-01-01,福岡県,6872,232619,998029000000,5305221000000,8621731000000
2007-01-01,佐賀県,1644,64324,244059000000,1158579000000,1963999000000
2007-01-01,長崎県,2256,60643,228611000000,1206411000000,1928210000000
2007-01-01,熊本県,2542,102262,393520000000,1740385000000,2956039000000
2007-01-01,大分県,1873,75857,294907000000,2933554000000,4251027000000
2007-01-01,宮崎県,1725,61115,198481000000,852189000000,1436734000000
2007-01-01,鹿児島県,2541,76636,264508000000,1123055000000,1992875000000
2007-01-01,沖縄県,1335,25227,66664000000,364105000000,559850000000
2008-01-01,北海道,6618,185625,625500000000,3893719000000,5917424000000
2008-01-01,青森県,1829,63036,194643000000,922159000000,1649446000000
2008-01-01,岩手県,2696,98655,337946000000,1676235000000,2528404000000
2008-01-01,宮城県,3467,124885,464884000000,2215718000000,3538700000000
2008-01-01,秋田県,2369,74699,236554000000,966022000000,1555844000000
2008-01-01,山形県,3219,114100,408411000000,1994282000000,3116989000000
2008-01-01,福島県,4896,184788,752523000000,3612473000000,5984495000000
2008-01-01,茨城県,6765,286969,1328198000000,8023442000000,12310244000000
2008-01-01,栃木県,5470,212563,1004854000000,5923413000000,9279202000000
2008-01-01,群馬県,6489,213199,932806000000,5286178000000,8318403000000
2008-01-01,埼玉県,15515,432274,1851190000000,9377371000000,14657670000000
2008-01-01,千葉県,6620,228369,1076498000000,11077425000000,15463735000000
2008-01-01,東京都,19287,362825,1726256000000,5981224000000,10203865000000
2008-01-01,神奈川県,11031,425078,2281399000000,12090070000000,19497483000000
2008-01-01,新潟県,6707,199952,757408000000,3028224000000,5195390000000
2008-01-01,富山県,3341,125985,541927000000,2390525000000,3940610000000
2008-01-01,石川県,3796,103060,408134000000,1647987000000,2812634000000
2008-01-01,福井県,2891,75468,293285000000,1263608000000,2095120000000
2008-01-01,山梨県,2510,80745,362718000000,1583043000000,2657593000000
2008-01-01,長野県,6533,215073,951889000000,4167400000000,6624022000000
