datetime,prefecture,pop_male,pop_female,pop_sum,pop_households
2007-01-01,山形県,580612,623487,1204099,394212
2007-01-01,福島県,1018443,1070996,2089439,736288
2007-01-01,茨城県,1492374,1493741,2986115,1079882
2007-01-01,栃木県,998539,1007824,2006363,730557
2007-01-01,群馬県,996396,1019840,2016236,745233
2007-01-01,埼玉県,3551162,3490882,7042044,2781143
2007-01-01,千葉県,3040351,3017897,6058248,2454027
2007-01-01,東京都,6140844,6220892,12361736,6060432
2007-01-01,神奈川県,4414659,4326366,8741025,3774373
2007-01-01,新潟県,1176946,1248737,2425683,831390
2007-01-01,富山県,536357,574356,1110713,379768
2007-01-01,石川県,563751,605498,1169249,431925
2007-01-01,福井県,397094,421349,818443,266948
2007-01-01,山梨県,430551,445070,875621,328309
2007-01-01,長野県,1067363,1117233,2184596,798841
2007-01-01,岐阜県,1023525,1076888,2100413,724887
2007-01-01,静岡県,1864019,1911348,3775367,1397457
2007-01-01,愛知県,3583458,3562156,7145614,2774999
2007-01-01,三重県,905510,951580,1857090,701695
2007-01-01,滋賀県,676235,695342,1371577,487389
2007-01-01,京都府,1234403,1327879,2562282,1085362
2007-01-01,大阪府,4221515,4443590,8665105,3779054
2007-01-01,兵庫県,2689479,2891018,5580497,2267661
2007-01-01,奈良県,682922,742386,1425308,540542
2007-01-01,和歌山県,500659,553237,1053896,420679
2007-01-01,鳥取県,290439,316256,606695,222832
2007-01-01,島根県,352535,386545,739080,272241
2007-01-01,岡山県,941360,1010060,1951420,758762
2007-01-01,広島県,1388148,1479275,2867423,1198083
2007-01-01,山口県,704620,784556,1489176,633395
2007-01-01,徳島県,388013,423665,811678,314289
2007-01-01,香川県,492829,530245,1023074,401497
2007-01-01,愛媛県,701138,778637,1479775,618521
2007-01-01,高知県,373248,419171,792419,346228
2007-01-01,福岡県,2390173,2640138,5030311,2104652
2007-01-01,佐賀県,411962,456600,868562,302591
2007-01-01,長崎県,696224,785922,1482146,601788
2007-01-01,熊本県,875155,976918,1852073,712952
2007-01-01,大分県,576586,641480,1218066,495120
2007-01-01,宮崎県,552278,615231,1167509,489832
2007-01-01,鹿児島県,822798,928712,1751510,775541
2007-01-01,沖縄県,683782,703736,1387518,532688
2008-01-01,北海道,2648735,2923035,5571770,2618005
2008-01-01,青森県,680654,749889,1430543,565347
2008-01-01,岩手県,657304,709348,1366652,499351
2008-01-01,宮城県,1135696,1199178,2334874,891573
2008-01-01,秋田県,535577,595246,1130823,416787
2008-01-01,山形県,575514,618557,1194071,395308
2008-01-01,福島県,1011125,1064430,2075555,740993
2008-01-01,茨城県,1490148,1491852,2982000,1093512
2008-01-01,栃木県,999536,1007165,2006701,740354
2008-01-01,群馬県,994315,1017836,2012151,752614
2008-01-01,埼玉県,3563014,3504322,7067336,2827608
2008-01-01,千葉県,3056110,3034689,6090799,2498476
2008-01-01,東京都,6189004,6273192,12462196,6160440
2008-01-01,神奈川県,4441495,4356794,8798289,3832776
2008-01-01,新潟県,1170645,1242458,2413103,837457
2008-01-01,富山県,534180,572160,1106340,382789
2008-01-01,石川県,562527,604624,1167151,435912
2008-01-01,福井県,395584,419760,815344,269072
2008-01-01,山梨県,428199,443282,871481,330911
2008-01-01,長野県,1063273,1113533,2176806,804784
2008-01-01,岐阜県,1021355,1074129,2095484,732298
2008-01-01,静岡県,1864834,1910566,3775400,1413428
2008-01-01,愛知県,3606324,3579420,7185744,2822885
2008-01-01,三重県,905823,950459,1856282,710875
2008-01-01,滋賀県,679613,698273,1377886,496305
2008-01-01,京都府,1231740,1326802,2558542,1096291
2008-01-01,大阪府,4219619,4450683,8670302,3821714
2008-01-01,兵庫県,2688918,2893312,5582230,2293683
2008-01-01,奈良県,679530,740096,1419626,545391
2008-01-01,和歌山県,496361,549612,1045973,423263
2008-01-01,鳥取県,288127,314284,602411,224026
2008-01-01,島根県,349588,383535,733123,273450
2008-01-01,岡山県,939835,1008415,1948250,766961
2008-01-01,広島県,1386655,1477512,2864167,1209084
2008-01-01,山口県,700205,779635,1479840,637020
2008-01-01,徳島県,384948,421003,805951,316542
2008-01-01,香川県,491071,528262,1019333,404585
2008-01-01,愛媛県,696678,774832,1471510,622441
2008-01-01,高知県,368799,415239,784038,347102
2008-01-01,福岡県,2388578,2642240,5030818,2129522
2008-01-01,佐賀県,409857,454881,864738,305260
2008-01-01,長崎県,689356,779841,1469197,606559
