datetime,prefecture,wag_age,wag_salary,wag_bonus,wag_workers
2014-01-01,福島県,42.9,290800,665800,330730
2014-01-01,茨城県,42.3,324800,833700,481020
2014-01-01,栃木県,41.9,323600,817700,351950
2014-01-01,群馬県,42.4,309100,742300,359060
2014-01-01,埼玉県,42.0,325500,732500,906430
2014-01-01,千葉県,42.4,330700,761100,778990
2014-01-01,東京都,41.8,409500,1212000,3454380
2014-01-01,神奈川県,42.2,371100,989200,1202050
2014-01-01,新潟県,42.7,286200,621100,450860
2014-01-01,富山県,42.2,303200,773800,235880
2014-01-01,石川県,42.0,303000,769800,210930
2014-01-01,福井県,42.6,297700,683500,148810
2014-01-01,山梨県,42.3,313200,741600,130940
2014-01-01,長野県,42.6,305200,683600,356290
2014-01-01,岐阜県,42.2,305200,705200,327340
2014-01-01,静岡県,41.8,325900,860900,724500
2014-01-01,愛知県,41.5,352400,1027900,1561430
2014-01-01,三重県,41.6,329700,872600,332840
2014-01-01,滋賀県,41.3,327600,833300,248080
2014-01-01,京都府,42.3,331300,806500,369950
2014-01-01,大阪府,42.1,351700,893500,1595170
2014-01-01,兵庫県,41.9,318500,807900,778770
2014-01-01,奈良県,43.0,319900,720300,147060
2014-01-01,和歌山県,41.4,291400,681100,120190
2014-01-01,鳥取県,41.7,274300,574100,86430
2014-01-01,島根県,42.7,276600,624400,123940
2014-01-01,岡山県,41.6,303100,763600,330870
2014-01-01,広島県,42.4,315400,757000,514020
2014-01-01,山口県,43.2,295800,729600,281060
2014-01-01,徳島県,42.6,285200,739200,108380
2014-01-01,香川県,41.8,295400,726100,171400
2014-01-01,愛媛県,43.0,284200,636500,246590
2014-01-01,高知県,43.5,269300,586100,98220
2014-01-01,福岡県,41.6,303700,735000,997230
2014-01-01,佐賀県,42.7,266500,569100,141430
2014-01-01,長崎県,43.4,266400,591400,225310
2014-01-01,熊本県,42.3,274400,630800,286750
2014-01-01,大分県,42.8,281200,665500,176380
2014-01-01,宮崎県,42.8,259300,608700,151220
2014-01-01,鹿児島県,41.6,271300,587100,238990
2014-01-01,沖縄県,41.7,246400,437400,193750
2015-01-01,北海道,43.3,287300,654700,878120
2015-01-01,青森県,42.2,254200,536500,210340
2015-01-01,岩手県,43.4,259900,587400,243620
2015-01-01,宮城県,42.3,307400,763600,378840
2015-01-01,秋田県,43.6,257100,543300,188200
2015-01-01,山形県,42.6,266100,566700,203660
2015-01-01,福島県,42.9,289400,628700,351740
2015-01-01,茨城県,42.0,330700,894500,424640
2015-01-01,栃木県,42.4,321300,828500,368910
2015-01-01,群馬県,42.5,314500,779800,338590
2015-01-01,埼玉県,42.8,333000,772900,929900
2015-01-01,千葉県,42.4,338200,818700,774470
2015-01-01,東京都,41.9,412400,1286600,3710190
2015-01-01,神奈川県,42.3,367400,1033800,1197680
2015-01-01,新潟県,42.8,282400,638000,449420
2015-01-01,富山県,42.5,297000,786300,212660
2015-01-01,石川県,42.1,298600,780700,240830
2015-01-01,福井県,42.2,294300,740000,161860
2015-01-01,山梨県,42.8,313000,777200,133650
2015-01-01,長野県,42.6,304500,804000,353850
2015-01-01,岐阜県,41.8,303000,740200,319590
2015-01-01,静岡県,42.5,320700,806500,693520
2015-01-01,愛知県,41.4,354900,1147500,1577920
2015-01-01,三重県,41.9,328800,850300,358390
2015-01-01,滋賀県,41.6,329100,816800,229650
2015-01-01,京都府,42.8,335100,852700,395750
2015-01-01,大阪府,41.8,358500,978800,1613570
2015-01-01,兵庫県,42.2,332100,872700,879630
2015-01-01,奈良県,42.5,317100,753800,136940
2015-01-01,和歌山県,42.6,303300,742600,104180
2015-01-01,鳥取県,42.9,261000,558000,85110
2015-01-01,島根県,42.7,278300,650900,111060
2015-01-01,岡山県,42.5,311500,797000,330350
2015-01-01,広島県,42.3,315300,786900,513840
2015-01-01,山口県,43.1,296700,769000,259560
2015-01-01,徳島県,43.2,297800,859300,104710
2015-01-01,香川県,42.8,299000,713000,177030
2015-01-01,愛媛県,42.7,281700,656900,222840
2015-01-01,高知県,43.1,278700,609200,97780
2015-01-01,福岡県,42.5,299800,737200,970530
2015-01-01,佐賀県,42.6,268800,602100,134470
2015-01-01,長崎県,42.9,275600,605700,217500
2015-01-01,熊本県,42.2,283000,650600,318340
2015-01-01,大分県,42.5,276000,636400,187000
2015-01-01,宮崎県,42.7,258700,602500,161560
2015-01-01,鹿児島県,42.2,277100,609300,254390
2015-01-01,沖縄県,42.2,255000,496400,200110
2016-01-01,北海道,43.7,292200,665700,934300
