datetime,prefecture,mig_in,mig_out,mig_internal
2006-03-01,長崎県,4490,7381,6194
2006-03-01,熊本県,5633,6862,5675
2006-03-01,大分県,3807,4454,3358
2006-03-01,宮崎県,3744,5129,3912
2006-03-01,鹿児島県,5300,7358,7571
2006-03-01,沖縄県,4058,4512,6613
2006-04-01,北海道,11503,14650,51945
2006-04-01,青森県,4042,6929,5296
2006-04-01,岩手県,4018,6037,4467
2006-04-01,宮城県,11896,11759,8692
2006-04-01,秋田県,2807,4763,2416
2006-04-01,山形県,3315,5060,3599
2006-04-01,福島県,4993,7668,5686
2006-04-01,茨城県,9879,9964,6800
2006-04-01,栃木県,5753,6990,3319
2006-04-01,群馬県,5037,5838,3799
2006-04-01,埼玉県,26441,22709,16581
2006-04-01,千葉県,25821,23953,14637
2006-04-01,東京都,70235,49748,38469
2006-04-01,神奈川県,38498,31354,23910
2006-04-01,新潟県,5278,7172,5261
2006-04-01,富山県,3008,3348,1305
2006-04-01,石川県,3941,4538,2271
2006-04-01,福井県,1843,2525,1081
2006-04-01,山梨県,2742,2891,1794
2006-04-01,長野県,5563,7151,6036
2006-04-01,岐阜県,5133,5899,5124
2006-04-01,静岡県,10898,12089,8209
2006-04-01,愛知県,24680,19155,20800
2006-04-01,三重県,5279,5705,3593
2006-04-01,滋賀県,4901,4337,2404
2006-04-01,京都府,10525,10118,6523
2006-04-01,大阪府,28434,26864,24011
2006-04-01,兵庫県,17808,17523,13054
2006-04-01,奈良県,4869,5272,2437
2006-04-01,和歌山県,2129,3412,2129
2006-04-01,鳥取県,2255,2799,1508
2006-04-01,島根県,2486,3558,2817
2006-04-01,岡山県,6537,7107,3493
2006-04-01,広島県,11697,11811,8864
2006-04-01,山口県,6366,6445,5157
2006-04-01,徳島県,2291,2837,2148
2006-04-01,香川県,4267,4733,1891
2006-04-01,愛媛県,4094,5556,5005
2006-04-01,高知県,2414,3218,2747
2006-04-01,福岡県,24259,21907,20514
2006-04-01,佐賀県,3069,4396,1896
2006-04-01,長崎県,5770,8233,5910
2006-04-01,熊本県,6345,8486,6731
2006-04-01,大分県,4546,5295,3345
2006-04-01,宮崎県,4682,6499,5650
2006-04-01,鹿児島県,6729,10007,13861
2006-04-01,沖縄県,5022,5790,8309
2006-05-01,北海道,3797,4926,16343
2006-05-01,青森県,1389,2014,1265
2006-05-01,岩手県,1457,1772,1440
2006-05-01,宮城県,3432,3885,4794
2006-05-01,秋田県,983,1291,928
2006-05-01,山形県,1101,1312,1224
2006-05-01,福島県,2194,2577,2139
2006-05-01,茨城県,4028,4041,3950
2006-05-01,栃木県,2746,2887,2402
2006-05-01,群馬県,2244,2316,2533
2006-05-01,埼玉県,12630,12534,12933
2006-05-01,千葉県,12013,11236,10718
2006-05-01,東京都,33004,27036,30563
2006-05-01,神奈川県,18180,15994,19572
2006-05-01,新潟県,1929,2333,2039
2006-05-01,富山県,1026,1227,898
2006-05-01,石川県,1335,1363,1385
2006-05-01,福井県,789,889,660
2006-05-01,山梨県,1010,1201,1320
2006-05-01,長野県,2191,2656,2957
2006-05-01,岐阜県,2190,2617,2549
2006-05-01,静岡県,4544,4537,5101
2006-05-01,愛知県,10197,7992,15883
2006-05-01,三重県,2738,2416,2083
2006-05-01,滋賀県,2360,2016,1726
2006-05-01,京都府,4183,4744,4635
2006-05-01,大阪府,13057,13704,19613
2006-05-01,兵庫県,7373,7893,8708
2006-05-01,奈良県,2137,2502,1758
2006-05-01,和歌山県,976,1284,1069
2006-05-01,鳥取県,652,831,539
2006-05-01,島根県,757,1002,595
2006-05-01,岡山県,2291,2391,2065
